site_size_ha,towers_required,guard_coverage_hrs_per_day,guard_coverage_days_per_week,deployment_weeks,guard_hours_per_week,tower_weekly_cost_gbp,guard_weekly_cost_gbp,tower_total_cost_gbp,guard_total_cost_gbp,total_saving_gbp,saving_pct,annual_equivalent_saving_gbp,tower_rate_gbp_per_week,guard_rate_gbp_per_hr,coverage_model,attribution
1,1,8,5,4,40,300,600,1200,2400,1200,50.0,15600,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,5,8,40,300,600,2400,4800,2400,50.0,15600,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,5,12,40,300,600,3600,7200,3600,50.0,15600,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,5,26,40,300,600,7800,15600,7800,50.0,15600,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,5,52,40,300,600,15600,31200,15600,50.0,15600,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,6,4,48,300,720,1200,2880,1680,58.3,21840,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,6,8,48,300,720,2400,5760,3360,58.3,21840,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,6,12,48,300,720,3600,8640,5040,58.3,21840,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,6,26,48,300,720,7800,18720,10920,58.3,21840,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,6,52,48,300,720,15600,37440,21840,58.3,21840,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
1,1,8,7,4,56,300,840,1200,3360,2160,64.3,28080,300,15,1 tower per 2ha,Fyrfly Systems Ltd — www.fyrflysystems.com/cctv-tower.html
